DATE,DGS30
1977-03-01,7.7960869565217391
1977-04-01,7.7345000000000000
1977-05-01,7.7980952380952381
1977-06-01,7.6359090909090909
1977-07-01,7.6447368421052632
1977-08-01,7.6834782608695652
1977-09-01,7.6433333333333333
1977-10-01,7.7745000000000000
1977-11-01,7.8468421052631579
1977-12-01,7.9404761904761905
1978-01-01,8.1795238095238095
1978-02-01,8.2544444444444444
1978-03-01,8.2340909090909091
1978-04-01,8.3400000000000000
1978-05-01,8.4347619047619048
1978-06-01,8.5004545454545455
1978-07-01,8.6495000000000000
1978-08-01,8.4734782608695652
1978-09-01,8.4710000000000000
1978-10-01,8.6690476190476190
1978-11-01,8.7515000000000000
1978-12-01,8.8845000000000000
1979-01-01,8.9381818181818182
1979-02-01,9.0005555555555556
1979-03-01,9.0309090909090909
1979-04-01,9.0845000000000000
1979-05-01,9.1933333333333333
1979-06-01,8.9233333333333333
1979-07-01,8.9319047619047619
1979-08-01,8.9778260869565217
1979-09-01,9.1689473684210526
1979-10-01,9.8477272727272727
1979-11-01,10.3005263157894737
1979-12-01,10.1240000000000000
1980-01-01,10.5950000000000000
1980-02-01,12.1331578947368421
1980-03-01,12.3390476190476190
1980-04-01,11.4000000000000000
1980-05-01,10.3614285714285714
1980-06-01,9.8133333333333333
1980-07-01,10.2386363636363636
1980-08-01,11.0009523809523810
1980-09-01,11.3395238095238095
1980-10-01,11.5859090909090909
1980-11-01,12.3694117647058824
1980-12-01,12.3954545454545455
1981-01-01,12.1428571428571429
1981-02-01,12.8022222222222222
1981-03-01,12.6859090909090909
1981-04-01,13.1961904761904762
1981-05-01,13.6025000000000000
1981-06-01,12.9604545454545455
1981-07-01,13.5886363636363636
1981-08-01,14.1676190476190476
1981-09-01,14.6666666666666667
1981-10-01,14.6842857142857143
1981-11-01,13.3527777777777778
1981-12-01,13.4545454545454545
1982-01-01,14.2240000000000000
1982-02-01,14.2194444444444444
1982-03-01,13.5330434782608696
1982-04-01,13.3671428571428571
1982-05-01,13.2425000000000000
1982-06-01,13.9236363636363636
1982-07-01,13.5509523809523810
1982-08-01,12.7677272727272727
1982-09-01,12.0657142857142857
1982-10-01,11.1680000000000000
1982-11-01,10.5421052631578947
1982-12-01,10.5390909090909091
1983-01-01,10.6304761904761905
1983-02-01,10.8805263157894737
1983-03-01,10.6330434782608696
1983-04-01,10.4770000000000000
1983-05-01,10.5280952380952381
1983-06-01,10.9327272727272727
1983-07-01,11.3950000000000000
1983-08-01,11.8160869565217391
1983-09-01,11.6333333333333333
1983-10-01,11.5770000000000000
1983-11-01,11.7457894736842105
1983-12-01,11.8814285714285714
1984-01-01,11.7509523809523810
1984-02-01,11.9494736842105263
1984-03-01,12.3836363636363636
1984-04-01,12.6495000000000000
1984-05-01,13.4259090909090909
1984-06-01,13.4395238095238095
1984-07-01,13.2109523809523810
1984-08-01,12.5395652173913043
1984-09-01,12.2931578947368421
1984-10-01,11.9831818181818182
1984-11-01,11.5605263157894737
1984-12-01,11.5175000000000000
1985-01-01,11.4528571428571429
1985-02-01,11.4700000000000000
1985-03-01,11.8128571428571429
1985-04-01,11.4680952380952381
1985-05-01,11.0459090909090909
1985-06-01,10.4450000000000000
1985-07-01,10.4963636363636364
1985-08-01,10.5595454545454545
1985-09-01,10.6110526315789474
1985-10-01,10.5009090909090909
1985-11-01,10.0615789473684211
1985-12-01,9.5371428571428571
1986-01-01,9.3961904761904762
1986-02-01,8.9289473684210526
1986-03-01,7.9595000000000000
1986-04-01,7.3863636363636364
1986-05-01,7.5171428571428571
1986-06-01,7.5733333333333333
1986-07-01,7.2722727272727273
1986-08-01,7.3261904761904762
1986-09-01,7.6204761904761905
1986-10-01,7.6954545454545455
1986-11-01,7.5150000000000000
1986-12-01,7.3713636363636364
1987-01-01,7.3860000000000000
1987-02-01,7.5400000000000000
1987-03-01,7.5513636363636364
1987-04-01,8.2523809523809524
1987-05-01,8.7800000000000000
1987-06-01,8.5695454545454545
1987-07-01,8.6359090909090909
1987-08-01,8.9700000000000000
1987-09-01,9.5919047619047619
1987-10-01,9.6142857142857143
1987-11-01,8.9521052631578947
1987-12-01,9.1200000000000000
1988-01-01,8.8263157894736842
1988-02-01,8.4320000000000000
1988-03-01,8.6308695652173913
1988-04-01,8.9525000000000000
1988-05-01,9.2319047619047619
1988-06-01,8.9977272727272727
1988-07-01,9.1400000000000000
1988-08-01,9.3156521739130435
1988-09-01,9.0557142857142857
1988-10-01,8.8945000000000000
1988-11-01,9.0210000000000000
1988-12-01,9.0052380952380952
1989-01-01,8.9270000000000000
1989-02-01,9.0100000000000000
1989-03-01,9.1654545454545455
1989-04-01,9.0250000000000000
1989-05-01,8.8322727272727273
1989-06-01,8.2663636363636364
1989-07-01,8.0790000000000000
1989-08-01,8.1221739130434783
1989-09-01,8.1545000000000000
1989-10-01,7.9990476190476190
1989-11-01,7.9023809523809524
1989-12-01,7.8965000000000000
1990-01-01,8.2585714285714286
1990-02-01,8.5036842105263158
1990-03-01,8.5631818181818182
1990-04-01,8.7560000000000000
1990-05-01,8.7313636363636364
1990-06-01,8.4576190476190476
1990-07-01,8.4980952380952381
1990-08-01,8.8634782608695652
1990-09-01,9.0289473684210526
1990-10-01,8.8577272727272727
1990-11-01,8.5405000000000000
1990-12-01,8.2370000000000000
1991-01-01,8.2695238095238095
1991-02-01,8.0342105263157895
1991-03-01,8.2880000000000000
1991-04-01,8.2095454545454545
1991-05-01,8.2672727272727273
1991-06-01,8.4720000000000000
1991-07-01,8.4522727272727273
1991-08-01,8.1436363636363636
